resource,short_name,display_name,derived_kind,year,weight_lb,ordnance_bank,seeker_signature,launch_min_nmi,launch_max_nmi,seeker_max_nmi,motor_burn_s,lifetime_s,initial_speed_fts,max_speed_fts,projectiles_in_pod,rounds_per_shot,damage_by_class,fuze_radius_ft,aircraft_default_stations,surface_type_references,shape,fire_sound,archive
ADEN.JT,Aden,Aden 30mm Cannon Pod,gun round,1956,500,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,200,2,40;4;12;12;40,0,2,0,bullet.SH,&fstgun2.11k,FA_2.LIB
ADENIN.JT,Aden,Aden 30mm Cannon,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,40;4;12;12;40,0,2,0,bullet.SH,&fstgun2.11k,FA_2.LIB
AEMP1.JT,AEMP-1,AEMP-1 EM Pulse,guided missile,2000,191,one,3,0.33,14.81,19.75,35.0,70.0,0,4400,1,1,0;0;0;0;0,50,0,0,aemp.SH,&ltmiss.11k,FA_2.LIB
AGM45.JT,AGM-45,AGM-45B Shrike,guided missile,1956,795,two,4,0.0,9.87,9.87,10.0,40.0,0,4400,1,1,180;180;180;180;180,100,1,0,harm.SH,&ashvmis.11k,FA_2.LIB
AGM65A.JT,AGM-65A,AGM-65A Maverick,guided missile,1956,675,two,2,0.0,8.23,8.23,10.0,40.0,0,1906,1,1,180;180;180;180;180,100,0,0,mavrk.SH,&ashvmis.11k,FA_2.LIB
AGM65G.JT,AGM-65,AGM-65G Maverick,guided missile,1972,675,two,2,0.08,9.87,9.87,10.0,40.0,0,2933,1,1,200;200;200;200;200,100,40,0,mavrk.SH,&ashvmis.11k,FA_2.LIB
AGM84A.JT,AGM-84A,AGM-84A Harpoon,guided missile,1973,1165,two,3,0.08,59.25,59.25,120.0,120.0,0,4400,1,1,350;350;350;350;350,100,1,0,harpn.SH,&ashvmis.11k,FA_2.LIB
AGM84E.JT,AGM-84E,AGM-84E SLAM,guided missile,1990,1380,two,2,0.08,49.37,49.37,120.0,120.0,0,4400,1,1,300;300;300;300;300,100,1,0,slam.SH,&ashvmis.11k,FA_2.LIB
AGM88.JT,AGM-88,AGM-88 HARM,guided missile,1983,795,two,4,0.08,32.92,32.92,25.0,40.0,0,4400,1,1,180;180;180;180;180,100,3,0,harm.SH,&ashvmis.11k,FA_2.LIB
AIM120.JT,AIM-120,AIM-120 AMRAAM,guided missile,1991,345,one,3,1.97,23.7,23.7,66.0,132.0,0,4400,1,1,140;14;42;28;140,100,27,0,amram.SH,&hvymiss.11k,FA_2.LIB
AIM54C.JT,AIM-54,AIM-54C Phoenix,guided missile,1974,975,one,3,4.94,98.75,98.75,141.0,283.0,0,5866,1,1,200;20;60;40;200,100,1,0,phenx.SH,&hvymiss.11k,FA_2.LIB
AIM7.JT,AIM-7,AIM-7 Sparrow,guided missile,1958,505,one,3,1.32,19.75,19.75,53.0,106.0,0,4400,1,1,170;17;51;34;170,100,7,0,spar.SH,&hvymiss.11k,FA_2.LIB
AIM7E.JT,AIM-7E,AIM-7E Sparrow,guided missile,1956,440,one,3,0.49,16.46,16.46,12.0,60.0,0,4033,1,1,130;13;39;26;130,100,2,0,spar.SH,&hvymiss.11k,FA_2.LIB
AIM9B.JT,AIM-9B,AIM-9B Sidewinder,guided missile,1956,170,one,2,0.66,3.95,8.23,3.0,20.0,0,4400,1,1,70;7;21;14;70,100,8,0,sideb.SH,&ltmiss.11k,FA_2.LIB
AIM9M.JT,AIM-9M,AIM-9M Sidewinder,guided missile,1983,190,one,2,0.66,3.95,8.23,11.0,22.0,0,4400,1,1,100;10;30;20;100,100,33,0,sidem.SH,&ltmiss.11k,FA_2.LIB
AIM9X.JT,AIM-9X,AIM-9X Sidewinder,guided missile,2000,190,one,2,0.49,3.95,8.23,15.0,24.0,0,4400,1,1,100;10;30;20;100,100,11,0,am9x.SH,&ltmiss.11k,FA_2.LIB
AM39.JT,AM-39,AM-39 Exocet,guided missile,1979,1476,two,3,0.08,59.25,59.25,66.0,132.0,0,2933,1,1,300;300;300;300;300,100,0,0,exo.SH,&ashvmis.11k,FA_2.LIB
AS14.JT,AS-14,AS-14 Kedge,guided missile,1980,1495,two,1,0.08,6.58,8.23,10.0,30.0,0,2933,1,1,350;350;350;350;350,100,5,0,kedge.SH,&ashvmis.11k,FA_2.LIB
AS15.JT,AS 15,AS 15,guided missile,1985,220,two,3,0.08,9.87,9.87,20.0,40.0,0,4400,1,1,200;200;200;200;200,100,7,0,as12.SH,&asltmis.11k,FA_2.LIB
AS16.JT,AS-16,AS-16 Kickback,guided missile,1986,2640,two,3,0.08,6.58,8.23,10.0,30.0,0,2933,1,1,350;350;350;350;350,100,7,0,kikbk.SH,&ashvmis.11k,FA_2.LIB
AS30.JT,AS 30L,AS 30L,guided missile,1956,1146,two,1,0.08,9.87,9.87,13.0,26.0,0,4400,1,1,200;200;200;200;200,100,0,0,as30.SH,&ashvmis.11k,FA_2.LIB
AS7.JT,AS-7,AS-7 Kerry,guided missile,1965,631,two,3,0.08,4.94,8.23,10.0,30.0,0,2933,1,1,200;200;200;200;200,100,5,0,kerry.SH,&ashvmis.11k,FA_2.LIB
ASROC.JT,ASROC,ASROC,guided missile,1961,1,one,3,0.08,12.34,16.46,22.0,40.0,0,4400,1,1,150;15;45;30;150,100,0,1,sa3m.SH,&ltmiss.11k,FA_2.LIB
AT12.JT,AT-12,AT-12 Swinger,guided missile,1985,132,two,1,0.16,4.28,4.28,100.0,180.0,0,2933,1,1,80;80;80;80;80,100,2,0,swngr.SH,&asltmis.11k,FA_2.LIB
AT2.JT,AT-2,AT-2 Swatter,rocket,1956,65,two,0,0.08,2.96,3.29,10.0,30.0,0,2933,1,1,120;120;120;120;120,100,1,0,swatr.SH,&asltmis.11k,FA_2.LIB
A_M1939.JT,M1939 Zone,M1939 37mm AAA Zone,gun round,1956,1,one,0,0.0,1.65,3.29,0.0,5.0,3960,3960,1,1,30;3;9;6;30,100,0,1,tracer.SH,&hvygun.5k,FA_2.LIB
B13.JT,B-13L,B-13L Rocket Pod,rocket,2000,1111,two,0,0.01,2.47,3.29,10.0,20.0,0,3080,5,1,36;18;36;10;36,100,2,0,san11.SH,&hvrck.11k,FA_2.LIB
B8.JT,B-8M1,B-8M1 Rocket Pod,rocket,2000,798,two,0,0.01,1.48,2.14,10.0,20.0,0,3080,19,1,12;6;12;3;12,100,2,0,san11.SH,&ltrck.11k,FA_2.LIB
BK27.JT,BK27,27-mm Mauser BK27 Cannon,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,25;2;7;7;25,0,5,0,bullet.SH,&fstgun3.11k,FA_2.LIB
BMP2.JT,bmp2,bmp2,gun round,1956,1,one,0,0.01,0.49,3.29,0.0,5.0,3666,3666,1,1,5;0;1;1;5,100,0,1,bullet.SH,&ltgun.5k,FA_2.LIB
BTR80.JT,btr80,btr80,gun round,1956,1,one,0,0.01,0.49,3.29,0.0,5.0,3666,3666,1,1,5;0;1;1;5,100,0,1,bullet.SH,&ltgun.5k,FA_2.LIB
CBU87.JT,CBU-87,CBU-87/B Cluster,bomb,2000,500,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,200;200;200;200;200,100,0,0,cb87.SH,&bomb.11k,FA_2.LIB
CBU89.JT,CBU-97,CBU-97/B Cluster,bomb,2000,700,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,240;240;240;240;240,100,0,0,cb89.SH,&bomb.11k,FA_2.LIB
C_105.JT,105mm,105mm Cannon,gun round,1956,1,two,2,0.0,2.14,3.29,0.0,10.0,2933,2933,1,2,150;150;150;150;150,50,1,0,bullet.SH,&cannon1.5k,FA_2.LIB
C_25.JT,25mm,25mm Cannon,gun round,1956,1,one,2,0.0,2.14,3.29,0.0,10.0,2933,2933,1,2,33;3;9;9;33,50,2,0,bullet.SH,&ltgun.5k,FA_2.LIB
C_40.JT,40mm,40mm Cannon,gun round,1956,1,one,2,0.0,2.14,3.29,0.0,10.0,2933,2933,1,2,50;50;50;50;50,50,2,0,bullet.SH,&aaa.5k,FA_2.LIB
DEFA.JT,DEFA,DEFA 30mm,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,25;2;7;7;25,0,11,0,bullet.SH,&eurogun.11k,FA_2.LIB
FAB1000.JT,FAB-1000,FAB-1000 M62,bomb,1956,2272,two,0,0.01,1.65,3.29,0.0,60.0,0,1466,1,1,500;500;500;500;500,300,1,0,f1000.SH,&bomb.11k,FA_2.LIB
FAB250.JT,FAB-250,FAB-250 M62,bomb,1956,550,two,0,0.01,1.65,3.29,0.0,60.0,0,1466,1,1,220;220;220;220;220,300,0,0,f250.SH,&bomb.11k,FA_2.LIB
FAB500.JT,FAB-500,FAB-500 M62,bomb,1956,1093,two,0,0.01,1.65,3.29,0.0,60.0,0,1466,1,1,325;325;325;325;325,300,2,0,f500.SH,&bomb.11k,FA_2.LIB
FIM92.JT,FIM-92,FIM-92 Stinger,guided missile,1984,35,one,2,1.23,8.89,16.46,4.0,20.0,0,2933,1,1,100;10;30;20;100,100,0,1,stgr.SH,&ltmiss.11k,FA_2.LIB
GAU12.JT,GAU-12,GAU-12 Vulcan Cannon,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,33;6;16;16;33,0,1,0,bullet.SH,&hrgun1.5k,FA_2.LIB
GAU13.JT,GAU-13,GAU-13 Pave Claw,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,33;3;9;9;33,0,4,0,bullet.SH,&fstgun3.11k,FA_2.LIB
GAU8.JT,GAU-8,GAU-8/A Avenger,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,80;16;80;80;80,0,1,0,bullet.SH,&fstgun2.11k,FA_2.LIB
GBU10.JT,GBU-10E,GBU-10E Paveway II,guided bomb,1956,2000,two,1,0.0,4.94,8.23,0.0,60.0,0,2933,1,1,400;400;400;400;400,100,0,0,pave.SH,&bomb.11k,FA_2.LIB
GBU10A.JT,GBU-10,GBU-10 Paveway I,guided bomb,1956,2000,two,1,0.0,4.11,7.41,0.0,60.0,0,2933,1,1,400;400;400;400;400,100,0,0,pave.SH,&bomb.11k,FA_2.LIB
GBU28.JT,GBU-28,GBU-28/B,guided bomb,1991,4500,two,1,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,1600;1600;1600;1600;1600,100,1,0,gb28.SH,&bomb.11k,FA_2.LIB
GBU29.JT,GBU-29,GBU-29 JDAM,bomb,1991,2000,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,400;400;400;400;400,100,0,0,gb27.SH,&bomb.11k,FA_2.LIB
GBU29P.JT,GBU-29/P,GBU-29/P JDAM,bomb,1991,2000,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,500;500;500;500;500,100,0,0,gb27.SH,&bomb.11k,FA_2.LIB
GBU30.JT,GBU-30,GBU-30 JDAM,bomb,1991,1000,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,200;200;200;200;200,100,0,0,gb27.SH,&bomb.11k,FA_2.LIB
GSH23.JT,GSh-23,GSh-23 23mmx2,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,10;1;3;3;10,0,5,0,bullet.SH,&f22gun2.11k,FA_2.LIB
GSH30.JT,GSh-30,GSh-30 30mmx1,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,15;1;4;4;15,0,2,0,bullet.SH,&f22gun2.11k,FA_2.LIB
GSH301.JT,GSh-301,GSh-301 30mmx6,gun round,1956,1,one,0,0.0,2.47,6.58,0.0,10.0,2933,2933,1,2,40;4;12;12;40,0,10,0,bullet.SH,&su33gun.11k,FA_2.LIB
GSH6_23.JT,GSh-6-23,GSh-6-23 23mmx6,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,25;2;7;7;25,0,1,0,bullet.SH,&f22gun.11k,FA_2.LIB
GSH6_30.JT,GSh-6-30,GSh-6-30 30mmx6,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,40;4;12;12;40,0,4,0,bullet.SH,&f22gun.11k,FA_2.LIB
HQ2J.JT,HQ-2J,HQ-2J SAM,guided missile,1965,1,one,3,1.23,8.89,16.46,23.0,40.0,0,4400,1,1,200;20;60;40;200,100,0,0,hq2j.SH,&saltmis.11k,FA_2.LIB
HQ61.JT,HQ-61,HQ-61,guided missile,1984,1,one,3,1.23,8.89,16.46,23.0,40.0,0,4400,1,1,200;20;60;40;200,100,0,0,hq61.SH,&sahvmis.11k,FA_2.LIB
KS12.JT,KS-12,KS-12 85mm AAA,gun round,1956,1,one,3,0.0,6.58,16.46,0.0,10.0,3520,3520,1,1,50;5;15;10;50,250,0,1,tracer.SH,&expl3.5k,FA_2.LIB
KS19.JT,KS-19,KS-19 100mm AAA,gun round,1956,1,one,3,0.0,8.23,16.46,0.0,15.0,4400,4400,1,1,80;8;24;16;80,250,0,1,tracer.SH,&cannon1.5k,FA_2.LIB
LAU10.JT,LAU-10,LAU-10 Rocket Pod,rocket,1966,200,two,0,0.01,1.97,3.29,10.0,20.0,0,3520,4,1,40;20;40;12;40,100,5,0,san11.SH,&hvrck.11k,FA_2.LIB
LAU61.JT,LAU-61,LAU-61 Rocket Pod,rocket,1956,200,two,0,0.01,1.97,3.29,10.0,20.0,0,3520,19,1,12;6;12;3;12,100,15,0,san11.SH,&ltrck.11k,FA_2.LIB
M1.JT,m1,m1,gun round,1956,1,one,0,0.01,0.82,3.29,0.0,5.0,5866,5866,1,1,200;200;200;200;200,100,0,1,bullet.SH,&expl3.5k,FA_2.LIB
M113.JT,m113,m113,gun round,1956,1,one,0,0.01,0.49,3.29,0.0,5.0,3666,3666,1,1,10;1;3;2;10,100,0,1,bullet.SH,&ltgun.5k,FA_2.LIB
M163.JT,M163,M163,gun round,1956,1,one,3,0.01,1.23,9.87,0.0,5.0,3666,3666,1,1,20;2;6;4;20,100,0,0,bullet.SH,&hvygun.5k,FA_2.LIB
M1939.JT,M1939,M1939 37mm AAA,gun round,1956,1,one,0,0.0,1.65,3.29,0.0,5.0,3960,3960,1,1,30;3;9;6;30,100,0,1,tracer.SH,&hvygun.5k,FA_2.LIB
M2.JT,m2,m2,gun round,1956,1,one,0,0.01,0.49,3.29,0.0,5.0,3666,3666,1,1,10;1;3;2;10,100,0,1,bullet.SH,&ltgun.5k,FA_2.LIB
M61.JT,M61,M61 Vulcan Cannon,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,25;2;7;7;25,0,37,0,bullet.SH,&fastgun.11k,FA_2.LIB
MICA.JT,MICA,Mica,guided missile,1996,230,one,3,1.97,24.69,24.69,66.0,132.0,0,4400,1,1,80;8;24;16;80,100,3,0,mica.SH,&ltmiss.11k,FA_2.LIB
MIM23.JT,MIM-23,MIM-23 HAWK,guided missile,1956,1,one,3,0.16,7.41,15.43,10.0,20.0,0,2933,1,1,120;12;36;24;120,100,0,0,gaunt.SH,&saltmis.11k,FA_2.LIB
MIS.JT,MIS,Mistral,guided missile,1980,1,one,3,1.23,7.9,10.53,23.0,40.0,0,4400,1,1,200;20;60;40;200,100,0,1,mis.SH,&saltmis.11k,FA_2.LIB
MK12.JT,Mk 12,Mk 12 20mmx2,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,10;1;3;3;10,0,1,0,bullet.SH,&su33gun.11k,FA_2.LIB
MK20.JT,MK-20,Mk 20 Rockeye II,bomb,2000,400,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,200;200;200;200;200,100,0,0,mk20.SH,&bomb.11k,FA_2.LIB
MK82.JT,MK-82,MK-82 Slick,bomb,1956,500,two,0,0.01,3.29,3.29,0.0,60.0,0,1466,1,1,220;220;220;220;220,300,23,0,mk82.SH,&bomb2.11k,FA_2.LIB
MK82AIR.JT,MK-82AIR7,MK-82 AIR 7-Pack,bomb,1956,3500,two,0,0.01,3.29,3.29,0.0,60.0,0,1466,1,1,220;220;220;220;220,300,3,0,mk82a.SH,&bomb2.11k,FA_2.LIB
MK82HD.JT,MK-82HD,MK-82 Snakeye,bomb,1956,500,two,0,0.01,3.29,3.29,0.0,60.0,0,1466,1,1,220;220;220;220;220,300,0,0,snake.SH,&bomb2.11k,FA_2.LIB
MK82P.JT,MK-82HDP6,MK-82HD 6-Pack,bomb,1956,3000,two,0,0.01,3.29,3.29,0.0,60.0,0,1466,1,1,220;220;220;220;220,300,2,0,snake.SH,&bomb2.11k,FA_2.LIB
MK82P3.JT,MK-82P3,MK-82 3-Pack,bomb,1956,1500,two,0,0.01,3.29,3.29,0.0,60.0,0,1466,1,1,220;220;220;220;220,300,2,0,mk82.SH,&bomb2.11k,FA_2.LIB
MK84.JT,MK-84,MK-84 Slick,bomb,1956,2000,two,0,0.01,3.29,3.29,0.0,60.0,0,1466,1,1,400;400;400;400;400,300,0,0,mk84.SH,&bomb2.11k,FA_2.LIB
PAVEWA3.JT,GBU-27,GBU-27 Paveway III,guided bomb,1991,2000,two,1,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,400;400;400;400;400,100,4,0,gb27.SH,&bomb.11k,FA_2.LIB
PAVEWAY.JT,GBU-10,GBU-10E Paveway,guided bomb,1968,2000,two,1,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,400;400;400;400;400,100,2,0,pave.SH,&bomb.11k,FA_2.LIB
PHALANX.JT,Phalanx,20mm Phalanx,gun round,1956,1,one,3,0.01,3.29,8.23,0.0,10.0,3666,3666,1,1,40;4;12;12;40,50,0,7,bullet.SH,&aaa.5k,FA_2.LIB
PL10.JT,PL-10,Chinese PL-10,guided missile,1984,661,one,3,1.32,24.69,24.69,20.0,40.0,0,4400,1,1,200;20;60;40;200,100,0,0,pl10.SH,&hvymiss.11k,FA_2.LIB
PL7.JT,PL-7,Chinese PL-7,guided missile,1984,198,one,2,0.66,3.95,8.23,4.0,20.0,0,4400,1,1,100;10;30;20;100,100,1,0,pl7.SH,&ltmiss.11k,FA_2.LIB
R440.JT,R-440,R-440 Matra,guided missile,1969,1,one,3,1.23,8.89,16.46,23.0,40.0,0,4400,1,1,200;20;60;40;200,100,0,1,r44.SH,&saltmis.11k,FA_2.LIB
R530.JT,R-530D,Super 530,guided missile,1963,595,one,3,1.32,16.46,19.75,53.0,106.0,0,4400,1,1,100;10;30;20;100,100,7,0,m53.SH,&ltmiss.11k,FA_2.LIB
R550.JT,R-550,R-550 Magic 2,guided missile,1975,196,one,2,0.66,3.95,8.23,7.0,20.0,0,4400,1,1,100;10;30;20;100,100,17,0,m55.SH,&ltmiss.11k,FA_2.LIB
RBK250.JT,RBK-250,RBK-250 Cluster,bomb,2000,500,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,200;200;200;200;200,100,0,0,rbk2.SH,&bomb.11k,FA_2.LIB
RBK500.JT,RBK-500,RBK-500 Cluster,bomb,2000,700,two,0,0.01,4.94,8.23,0.0,60.0,0,2933,1,1,240;240;240;240;240,100,0,0,rbk5.SH,&bomb.11k,FA_2.LIB
ROLAND.JT,Roland,Roland Euromissile,guided missile,1977,1,one,3,0.16,4.44,7.41,10.0,20.0,0,2933,1,1,120;12;36;24;120,100,0,0,rldm.SH,&sahvmis.11k,FA_2.LIB
SA13.JT,SA-13,SA-13 Gopher,guided missile,1975,1,one,2,0.25,2.47,4.11,10.0,20.0,0,2640,1,1,25;2;7;5;25,100,0,2,goph.SH,&saltmis.11k,FA_2.LIB
SA14.JT,SA-14,SA-14 Gremlin,guided missile,1974,1,one,2,0.08,2.47,3.29,22.0,20.0,0,3666,1,1,25;2;7;5;25,100,0,1,grem.SH,&ltmiss.11k,FA_2.LIB
SA15.JT,SA-15,SA-15 Gauntlet,guided missile,1988,1,one,3,0.16,5.92,13.17,10.0,20.0,0,2933,1,1,100;10;30;20;100,100,0,1,gaunt.SH,&sahvmis.11k,FA_2.LIB
SA16.JT,SA-16,SA-16 Gimlet,guided missile,1981,1,one,2,0.08,1.32,2.47,5.0,20.0,0,2200,1,1,25;2;7;5;25,100,0,1,grail.SH,&sahvmis.11k,FA_2.LIB
SA19.JT,SA-19,Sa-19,guided missile,1956,1,one,3,0.08,3.95,9.87,5.0,20.0,0,3960,1,1,50;5;15;10;50,100,1,3,sa19.SH,&sahvmis.11k,FA_2.LIB
SA2A.JT,SA-2A,SA-2A Guideline,guided missile,1956,1,one,3,1.23,15.64,24.69,23.0,40.0,0,3813,1,1,300;30;90;60;300,100,0,1,guide.SH,&saltmis.11k,FA_2.LIB
SA3.JT,SA-3,SA-3 Goa,guided missile,1965,1,one,3,1.23,8.89,16.46,23.0,40.0,0,2933,1,1,200;20;60;40;200,100,0,1,goa.SH,&saltmis.11k,FA_2.LIB
SA6.JT,SA-6,SA-6 Gainful,guided missile,1967,1,one,3,1.48,12.34,13.17,23.0,20.0,0,3080,1,1,75;7;22;15;75,100,0,1,gain.SH,&saltmis.11k,FA_2.LIB
SA7.JT,SA-7,SA-7 Grail,guided missile,1966,1,one,2,0.08,1.48,2.47,5.0,20.0,0,2200,1,1,25;2;7;5;25,100,0,1,grail.SH,&saltmis.11k,FA_2.LIB
SA9.JT,SA-9,SA-9 Gaskin,guided missile,1968,1,one,2,0.41,2.96,3.29,10.0,20.0,0,2200,1,1,35;3;10;7;35,100,0,2,gask.SH,&saltmis.11k,FA_2.LIB
SAN11.JT,SA-N-11,SA-N-11,guided missile,1975,1,one,3,0.25,3.95,16.46,10.0,40.0,0,2933,1,1,80;8;24;16;80,100,0,1,san11.SH,&sahvmis.11k,FA_2.LIB
SAN3.JT,SA-N-3,SA-N-3 Goblet,guided missile,1967,1,one,3,0.82,16.46,16.46,10.0,180.0,0,2493,1,1,200;20;60;40;200,100,0,1,goblet.SH,&saltmis.11k,FA_2.LIB
SAN4.JT,SA-N-4,SA-N-4 Gecko,guided missile,1969,1,one,3,0.66,5.76,16.46,10.0,40.0,0,2640,1,1,200;20;60;40;200,100,0,7,gecko.SH,&saltmis.11k,FA_2.LIB
SAN5.JT,SA-N-5,SA-N-5 Grail,guided missile,1959,1,one,2,0.08,1.48,2.47,5.0,20.0,0,2200,1,1,20;2;6;4;20,100,0,0,grail.SH,&saltmis.11k,FA_2.LIB
SAN7.JT,SA-N-7,SA-N-7 Gadfly,guided missile,1979,1,one,3,0.25,9.87,16.46,10.0,40.0,0,3080,1,1,80;8;24;16;80,100,0,1,gad.SH,&saltmis.11k,FA_2.LIB
SAN8.JT,SA-N-8,SA-N-8 Gremlin,guided missile,1959,1,one,2,0.08,2.47,4.11,5.0,40.0,0,3080,1,1,20;2;6;4;20,100,0,0,grem.SH,&saltmis.11k,FA_2.LIB
SAN9.JT,SA-N-9,SA-N-9 Klinok,guided missile,1976,1,one,3,0.16,5.92,13.17,10.0,40.0,0,2493,1,1,100;10;30;20;100,100,0,1,klinok.SH,&saltmis.11k,FA_2.LIB
SEA_SPAR.JT,AIM-7,AIM-7 Sea Sparrow,guided missile,1973,1,one,3,0.49,19.75,19.75,10.0,40.0,0,4400,1,1,170;170;170;170;170,100,0,4,spar.SH,&hvymiss.11k,FA_2.LIB
SMLARMS.JT,Small Arms,Small Arms fire,gun round,1956,1,one,0,0.0,0.66,3.29,0.0,5.0,3666,3666,1,1,10;1;3;3;10,50,0,1,bullet.SH,&ltgun.5k,FA_2.LIB
SSN9.JT,SS-N-9,SS-N-9,guided missile,1958,500,two,3,0.49,19.75,41.15,100.0,360.0,0,2493,1,1,170;170;170;170;170,100,0,1,spar.SH,&hvymiss.11k,FA_2.LIB
SUU16.JT,SUU-16,SUU-16 Gun Pod,gun round,1956,1702,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1200,2,25;2;7;7;25,0,1,0,bullet.SH,&fastgun.11k,FA_2.LIB
T12_4.JT,12.7mmx4,12.7mmx4 turret,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,15;1;4;4;15,0,3,0,bullet.SH,&su33gun.11k,FA_2.LIB
T20_1.JT,20mmx1,20mmx1 turret,gun round,1956,1,one,0,0.0,1.23,3.29,0.0,10.0,2933,2933,1,2,10;1;3;3;10,0,0,0,bullet.SH,&ltgun.5k,FA_2.LIB
