resource,short_name,display_name,year,object_class,no_lift,engines,empty_weight_lb,internal_fuel_lb,max_takeoff_weight_lb,military_thrust_lbf,afterburner_thrust_lbf,top_speed_kt,sea_level_min_kt,sea_level_max_kt,ceiling_ft,g_limit_min,g_limit_max,hit_points,hardpoints,internal_gun,default_stores,hud_resource,shape,archive
BLIMP.PT,BLIMP,Anti-Stealth Blimp,2000,0x4000,yes,1,25000,2000,30000,15000,0,130,0,130,8000,-1,2,38,2,,VIS340.SEE:1;F18R.SEE:1,ac130.HUD,bli.SH,FA_2.LIB
BUC.PT,BUC,BAe Buccaneer,1967,0x4000,no,2,36000,14984,62000,22200,0,1268,142,723,42000,-4,7,136,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F104.ECM:1;M61.JT:1;F150.GAS:1;AGM65G.JT:2,f14cc.HUD,buc.SH,FA_2.LIB
C130.PT,C-130,C-130 Hercules,1956,0x4000,no,4,76469,45012,155000,108192,0,338,101,338,34000,-2,3,211,1,,VIS300.SEE:1,ac130.HUD,c130.SH,FA_2.LIB
C17.PT,C-17,C- 17 Globemaster,1994,0x4000,no,4,269000,151000,580000,166800,0,350,101,350,44000,-2,4,396,3,,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1,ac130.HUD,c17.SH,FA_2.LIB
C5.PT,C-5B,C-  5B Galaxy,1966,0x4000,no,4,374000,332500,837000,132000,0,498,101,498,36750,-2,4,467,3,,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1,ac130.HUD,c5.SH,FA_2.LIB
CH47.PT,CH-47,CH-47 Chinook,1960,0x4000,yes,2,18078,3307,28660,135795,0,178,53,178,7000,-1,3,103,1,,VIS300.SEE:1,ac130.HUD,ch47.SH,FA_2.LIB
CKUO.PT,CKUO,AIDC Ching-Kuo,1995,0x8000,no,2,14300,4300,22000,12050,18920,1143,113,782,55000,-3,7,136,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;AGM65G.JT:1;AIM9M.JT:2,f14cc.HUD,aidc.SH,FA_2.LIB
CMCHE.PT,RAH-66,RAH-66 Commanche,2000,0x4000,yes,1,8000,6200,16000,17687,0,178,0,178,7000,-1,4,68,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;LAU61.JT:1;AIM9M.JT:1;AV8IR.SEE:1,ac130.HUD,rah.SH,FA_2.LIB
DRAK.PT,Draken,Saab Draken,1960,0x8000,no,1,18188,5976,33069,12790,17650,1148,118,794,67000,-4,8,150,8,ADEN.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;ADEN.JT:1;F150.GAS:1;AIM7E.JT:1;AGM65G.JT:1;AIM9B.JT:1,gripen.HUD,drak.SH,FA_2.LIB
DRNA1.PT,DR-A1,Attack Drone 1,2000,0x8000,no,1,6960,3100,12560,7800,0,1256,118,806,65000,-4,9,64,4,,VIS340.SEE:1;F18R.SEE:1;AIM9M.JT:2,f31.HUD,da1.SH,FA_2.LIB
DRNA2.PT,DR-A2,Attack Drone 2,2000,0x8000,no,2,5450,3300,13650,8200,0,1033,118,705,60000,-2,4,56,6,,VIS340.SEE:1;F18R.SEE:1;AIM9M.JT:2;F150.GAS:1,f31.HUD,da2.SH,FA_2.LIB
DRND1.PT,DR-D1,Decoy Drone 1,2000,0x4000,no,1,5000,4000,10000,6400,0,563,142,563,42000,-2,4,54,2,,VIS340.SEE:1;F18R.SEE:1,f31.HUD,dd1.SH,FA_2.LIB
DRND2.PT,DR-D2,Decoy Drone 2,2000,0x4000,no,1,5000,4100,10000,6900,0,563,142,563,42000,-2,4,54,2,,VIS340.SEE:1;F18R.SEE:1,f31.HUD,dd2.SH,FA_2.LIB
DRNR1.PT,DR-R1,Recon Drone 1 (GRD),2000,0x4000,no,1,1500,2400,4000,2800,0,361,77,344,37000,-2,4,30,2,,VIS340.SEE:1;F18R.SEE:1,ac130.HUD,de1.SH,FA_2.LIB
DRNR2.PT,DR-R2,Recon Drone 2 (GRD),2000,0x4000,no,1,1500,2400,4000,3200,0,361,77,344,37000,-2,4,30,2,,VIS340.SEE:1;F18R.SEE:1,ac130.HUD,de2.SH,FA_2.LIB
DRNR2E.PT,DR-R2,Recon (Desert) Drone 2 (GRD),2000,0x4000,no,1,1500,1200,3000,3200,0,361,77,344,37000,-2,4,30,2,,VIS340.SEE:1;F18R.SEE:1,ac130.HUD,de2e.SH,FA_2.LIB
DRNR3.PT,DR-R3,DarkStar (GRD),2000,0x4000,no,1,2000,2400,4500,4000,0,361,77,344,37000,-2,4,30,2,,VIS340.SEE:1;F18R.SEE:1,ac130.HUD,dark.SH,FA_2.LIB
E2.PT,E-2C,E-2C Hawkeye (AIR),1972,0x4000,no,2,39373,12400,53267,16000,0,326,77,314,31000,-2,3,151,3,,VIS300.SEE:1;E2R.SEE:1;B52.ECM:1,ac130.HUD,e2c.SH,FA_2.LIB
E2000.PT,E2000,EuroFighter 2000,2002,0x8000,no,2,21495,8818,46297,24000,38000,1234,118,794,65000,-4,9,99,9,BK27.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;BK27.JT:1;F150.GAS:1;AIM120.JT:1;AGM65G.JT:1;AIM9M.JT:1,e2000.HUD,e20.SH,FA_2.LIB
E3.PT,E-3,E-3 AWACS Sentry (AIR),1976,0x4000,no,4,169552,157839,332500,84000,0,462,124,462,30000,-2,3,314,3,,VIS300.SEE:1;E3R.SEE:1;B52.ECM:1,ac130.HUD,awacs.SH,FA_2.LIB
E8.PT,E-8C,E-8C J-STARS (GRD),1991,0x4000,no,4,169552,157839,332500,84000,0,527,124,468,42750,-2,3,314,3,,VIS300.SEE:1;E8R.SEE:1;B52.ECM:1,ac130.HUD,jstrs.SH,FA_2.LIB
EA6.PT,EA-6,EA-6B Prowler,1971,0x4000,no,2,32162,15470,65000,22400,0,711,142,569,41000,-3,6,137,7,,VIS240.SEE:1;EA6R.SEE:1;EA6.ECM:1;AGM88.JT:2,ac130.HUD,a6b.SH,FA_2.LIB
F104.PT,F-104,F-104N Starfighter,1972,0x8000,no,1,14082,4924,28779,12177,17900,1256,196,646,58000,-3,5,91,9,M61.JT,VIS300.SEE:1;F104R.SEE:1;F104.ECM:1;M61.JT:1;F250.GAS:2;AIM7.JT:2;AIM9M.JT:1,f104_c.HUD,f104.SH,FA_2.LIB
F105.PT,F-105,F-105 Thunderchief,1960,0x4000,no,1,28393,9280,54000,26500,34000,1296,181,741,42000,-3,6,140,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;AV8.ECM:1;M61.JT:1;F500.GAS:1;MK82P3.JT:1;AGM45.JT:1,seaharcc.HUD,f105.SH,FA_2.LIB
F111.PT,F-111F,F-111F Aardvark,1980,0x4000,no,2,47481,5025,100000,50200,80000,1434,118,788,60000,-2,5,125,9,,VIS240.SEE:1;A6R.SEE:1;A6.ECM:1;AV8IR.SEE:1;PAVESPK.SEE:1;GBU28.JT:1;MK82P.JT:2;AGM65G.JT:1,ac130.HUD,f111.SH,FA_2.LIB
F117.PT,F-117,F-117A Nighthawk,1983,0x4000,no,2,29500,18500,54000,21600,0,604,169,592,42000,-3,6,131,6,,VIS340.SEE:1;PAVESPK.SEE:1;F18.ECM:1;AV8IR.SEE:1;PAVEWA3.JT:2,,f117.SH,FA_2.LIB
F14.PT,F-14,F- 14D Tomcat,1984,0x8000,no,2,40104,15741,74349,28435,41800,1345,101,800,56000,-4,7,153,8,M61.JT,VIS340.SEE:1;F14R.SEE:1;F14.ECM:1;M61.JT:1;AIM54C.JT:1;F250.GAS:1;AIM120.JT:1;AIM9M.JT:1,f14cc.HUD,f14.SH,FA_2.LIB
F15.PT,F-15,F- 15C Eagle,1979,0x8000,no,2,28600,13662,68000,32558,47860,1434,118,806,100000,-4,9,129,6,M61.JT,VIS340.SEE:1;F15R.SEE:1;F15.ECM:1;M61.JT:1;AIM120.JT:1;AIM9M.JT:1,av8.HUD,f15.SH,FA_2.LIB
F15E.PT,F-15E,F- 15E Strike Eagle,1990,0x8000,no,2,28600,13662,68000,32558,47860,1434,118,806,100000,-4,9,129,9,M61.JT,VIS340.SEE:1;F15R.SEE:1;F15.ECM:1;AV8IR.SEE:1;PAVESPK.SEE:1;M61.JT:1;F350.GAS:1;MK82.JT:1;AIM120.JT:1,av8.HUD,f15e.SH,FA_2.LIB
F15J.PT,F-15J,F- 15J Eagle,1981,0x8000,no,2,28600,13662,68000,32558,47860,1434,118,806,100000,-4,9,129,6,M61.JT,VIS340.SEE:1;F15R.SEE:1;F15.ECM:1;M61.JT:1;AIM120.JT:1;AIM9M.JT:1,av8.HUD,f15.SH,FA_2.LIB
F16.PT,F-16,F- 16A Falcon,1979,0x8000,no,1,14567,6972,33000,17687,32000,1145,71,794,60000,-4,9,92,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:1;AIM9M.JT:2,f16c.HUD,f16.SH,FA_2.LIB
F16C.PT,F-16C,F- 16C Falcon,1984,0x8000,no,1,14567,6972,33000,17687,32000,1145,71,794,60000,-4,9,92,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;PAVESPK.SEE:1;M61.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:1;AIM9M.JT:1,f16c.HUD,f16.SH,FA_2.LIB
F16E.PT,F-16,F- 16A (Desert) Falcon,1979,0x8000,no,1,14567,6972,33000,17687,32000,1145,71,794,60000,-4,9,92,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:1;AIM9M.JT:2,f16c.HUD,f16e.SH,FA_2.LIB
F16F.PT,F-16,F- 16A (Forest) Falcon,1979,0x8000,no,1,14567,6972,33000,17687,32000,1145,71,794,60000,-4,9,92,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:1;AIM9M.JT:2,f16c.HUD,f16f.SH,FA_2.LIB
F18.PT,F/A-18D,F/A- 18D Hornet,1986,0x8000,no,2,23050,11220,49224,17687,32000,1033,118,705,60000,-4,9,116,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM120.JT:1;AGM65G.JT:2;AIM9M.JT:1,,f18.SH,FA_2.LIB
F18C.PT,F/A-18C,F/A- 18C Hornet,1986,0x8000,no,2,23050,11220,49224,17687,32000,1033,118,705,60000,-4,9,116,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:2;AIM9M.JT:1,f18.HUD,f18.SH,FA_2.LIB
F22.PT,F-22,F- 22A Raptor,1999,0x8000,no,2,30000,25000,72000,64000,78000,1315,71,1126,65000,-4,9,132,8,M61.JT,VIS340.SEE:1;F22R.SEE:1;F22.ECM:1;M61.JT:1;AV8IR.SEE:1;AIM120.JT:1;AGM65G.JT:1;AIM9X.JT:1,f22.HUD,f22.SH,FA_2.LIB
F22N.PT,F-22,F- 22N Raptor,1999,0x8000,no,2,30000,25000,72000,64000,78000,1315,71,1126,65000,-4,9,132,8,M61.JT,VIS340.SEE:1;F22R.SEE:1;F22.ECM:1;M61.JT:1;AV8IR.SEE:1;AIM120.JT:1;AGM65G.JT:1;AIM9X.JT:1,f22n.HUD,f22n.SH,FA_2.LIB
F260.PT,SF.260,SIAI-Marchetti SF.260,1966,0x4000,no,1,1730,384,3866,1450,0,190,65,190,19000,-3,6,95,4,,VIS340.SEE:1;LAU61.JT:1;MIG21R.SEE:1,ac130.HUD,f26.SH,FA_2.LIB
F29.PT,X-29,X-29 FSW,2000,0x8000,no,1,15980,8120,33600,17687,32000,1039,71,687,60000,-4,9,97,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM120.JT:1;AIM9X.JT:1,,f29.SH,FA_2.LIB
F31.PT,X-31,X-31 EFM,2000,0x8000,no,1,16225,9975,40200,21000,32000,1481,130,1481,41000,-4,9,97,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;M61.JT:1;AIM120.JT:1;AGM65G.JT:1;AIM9X.JT:1,,f31.SH,FA_2.LIB
F31E.PT,X-31,X-31 (Desert) EFM,2000,0x8000,no,1,16225,9975,40200,21000,32000,1481,130,1481,41000,-4,9,97,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;M61.JT:1;AIM120.JT:1;AGM65G.JT:1;AIM9X.JT:1,,f31e.SH,FA_2.LIB
F31F.PT,X-31,X-31 (Forest) EFM,2000,0x8000,no,1,16225,9975,40200,21000,32000,1481,130,1481,41000,-4,9,97,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;M61.JT:1;AIM120.JT:1;AGM65G.JT:1;AIM9X.JT:1,,f31f.SH,FA_2.LIB
F31V.PT,X-31,X-31 (Snow) EFM,2000,0x8000,no,1,16225,9975,40200,21000,32000,1481,130,1481,41000,-4,9,97,9,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AV8IR.SEE:1;M61.JT:1;AIM120.JT:1;AGM65G.JT:1;AIM9X.JT:1,,f31v.SH,FA_2.LIB
F4.PT,F-4G,F-  4G Wild Weasel Phantom,1976,0x8000,no,2,31853,10790,51000,23620,35800,1268,142,723,42000,-4,7,136,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM7.JT:1;AGM88.JT:1,f4.HUD,f4.SH,FA_2.LIB
F4B.PT,F-4B,F-  4B Phantom II,1960,0x8000,no,2,30328,12290,61795,23260,35800,1268,142,723,42000,-4,7,136,7,,VIS340.SEE:1;F4BR.SEE:1;F4.ECM:1;AIM9B.JT:1;MK82.JT:2;F350.GAS:1,f4.HUD,f4j.SH,FA_2.LIB
F4E.PT,F-4,F-  4E (Desert) Phantom,1967,0x8000,no,2,31853,12290,51000,23620,35800,1268,142,723,42000,-4,7,136,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM7.JT:1;AGM65G.JT:1,f4.HUD,f4e.SH,FA_2.LIB
F4J.PT,F-4J,F-  4J Phantom II,1960,0x8000,no,2,30328,12290,61795,23260,35800,1268,142,723,42000,-4,7,136,8,SUU16.JT,VIS340.SEE:1;F4JR.SEE:1;F4.ECM:1;SUU16.JT:1;AIM7E.JT:1;AIM9B.JT:1;F350.GAS:1,f4.HUD,f4j.SH,FA_2.LIB
F5E.PT,F-5,F-  5E Tiger,1973,0x8000,no,2,9558,6240,24664,7000,10000,1090,142,723,42000,-4,8,75,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM7.JT:1;AIM9B.JT:1,f29.HUD,f5e.SH,FA_2.LIB
F5EE.PT,F-5,F-  5E (Desert) Tiger,1974,0x8000,no,2,9558,6240,24664,7000,10000,1090,142,723,42000,-4,8,75,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM7.JT:1;AIM9B.JT:1,f29.HUD,f5ee.SH,FA_2.LIB
F5EV.PT,F-5,F-  5E (Snow) Tiger,1974,0x8000,no,2,9558,6240,24664,7000,10000,1090,142,723,42000,-4,8,75,7,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AIM7.JT:1;AIM9B.JT:1,f29.HUD,f5ev.SH,FA_2.LIB
F8J.PT,F-8J,F-  8J Crusader,1960,0x8000,no,1,19925,10790,34000,10700,18000,1031,107,1031,58500,-4,7,100,7,20MM_4.JT,VIS340.SEE:1;F8R.SEE:1;F8.ECM:1;20MM_4.JT:1;AIM9B.JT:1;F150.GAS:1,f8.HUD,f8.SH,FA_2.LIB
FSX.PT,FS-X,Fighter Support-X,1995,0x8000,no,1,17960,6970,37500,23498,38000,1151,71,800,60000,-4,9,102,8,M61.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;M61.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:1;AIM9M.JT:1,f16c.HUD,fsx.SH,FA_2.LIB
GAZ.PT,Gazelle,Gazelle,2000,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,6,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1;LAU61.JT:1;R550.JT:1,ac130.HUD,gaz.SH,FA_2.LIB
GAZE.PT,Gazelle,Gazelle (Desert),2000,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,6,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1;LAU61.JT:1;R550.JT:1,ac130.HUD,gaze.SH,FA_2.LIB
GAZV.PT,Gazelle,Gazelle (Snow),2000,0x4000,yes,2,18298,2000,23810,26280,0,130,36,130,7000,-1,4,103,6,T30_1.JT,VIS340.SEE:1;KA50L.SEE:1;KA50.ECM:1;T30_1.JT:1;LAU61.JT:1;R550.JT:1,ac130.HUD,gazv.SH,FA_2.LIB
GRIPEN.PT,Gripen,Saab Gripen,1998,0x8000,no,1,14599,5000,27560,12140,18100,1145,118,729,60000,-4,9,99,9,BK27.JT,VIS340.SEE:1;F18R.SEE:1;F18.ECM:1;AAS38.SEE:1;BK27.JT:1;F150.GAS:1;AGM65G.JT:1;AIM120.JT:1;AIM9M.JT:1,gripen.HUD,gri.SH,FA_2.LIB
HWK.PT,Hawk,BAe Hawk,1993,0x8000,no,1,9700,3496,20061,5845,0,715,101,575,45000,-4,8,75,8,ADENIN.JT,VIS340.SEE:1;F18R.SEE:1;F104.ECM:1;ADENIN.JT:1;F150.GAS:1;MK82.JT:2;AIM9B.JT:1,a7.HUD,baha.SH,FA_2.LIB
IL76.PT,IL-76,IL-76 Mainstay (AIR),1969,0x4000,no,4,169552,157839,332500,84000,0,462,124,462,51000,-2,3,314,3,,VIS300.SEE:1;E3R.SEE:1;B52.ECM:1,ac130.HUD,il76.SH,FA_2.LIB
IL96.PT,IL-96,IL-96,1992,0x4000,no,4,257940,253311,595238,141100,0,492,124,492,51000,-2,3,388,1,,VIS300.SEE:1,ac130.HUD,il96.SH,FA_2.LIB
J7E.PT,J-7E,J-7E Fishbed,1967,0x8000,no,1,12824,4534,23925,8598,13120,1173,118,699,60000,-3,7,86,7,GSH23.JT,VIS240.SEE:1;MIG21R.SEE:1;MIG21.ECM:1;GSH23.JT:1;AA2.JT:1;AS16.JT:1,su33.HUD,j7e.SH,FA_2.LIB
JAG.PT,Jaguar,SEPECAT Jaguar,1976,0x4000,no,2,15432,8880,34612,11040,18540,918,107,735,46000,-4,8,160,9,ADENIN.JT,VIS240.SEE:1;F18R.SEE:1;MIG31.ECM:1;PAVESPK.SEE:1;ADENIN.JT:1;PAVEWAY.JT:1;F250.GAS:1;MK82.JT:1;R550.JT:1,e2000.HUD,jag.SH,FA_2.LIB
